Station_Name,F1,TFR,FFR,MFR,FRI,Count,lat,lon,height
0ANS,0.6841706639737439,0.9242837653478854,0.2254746835443038,0.07571623465211459,0.19181232750689972,6522,64.275928964,21.042974373999986,50.4494465
0ARA,0.7391616766467066,0.8399564507348939,0.1705642565972967,0.16004354926510614,0.16759002770083103,6498,59.659371012,12.600001592000012,130.9742086
0ART,0.6835154826958104,0.8470654627539503,0.23557894736842105,0.15293453724604966,0.2131248083409997,6522,66.049360279,17.84161695900002,471.748516
0AST,0.8560311284046693,0.9482758620689655,0.1834319526627219,0.05172413793103448,0.12982456140350876,570,56.137283782,12.951339689000008,80.8167962
0ATV,0.727090635953931,0.8648004764740918,0.17819533347098906,0.13519952352590828,0.16712664826740264,6522,58.198895112,16.00250977799999,129.3592475
0BAS,0.692063492063492,0.8650793650793651,0.0922722029988466,0.1349206349206349,0.09768378650553877,1986,64.792697282,20.036676693000004,275.1102355
0BEB,0.7101604278074866,0.9222222222222223,0.19217081850533807,0.07777777777777778,0.16682056017236072,6498,64.720652245,21.08399620900002,35.6720429
0BLG,0.6689798750867454,0.8087248322147651,0.12346938775510204,0.1912751677852349,0.13489819004524886,3536,67.180382895,20.594194699000013,549.7275959
0BOR,0.7965879265091863,0.9229599594526102,0.17193370165745855,0.07704004054738976,0.14312096029547552,6498,57.714960955,12.891354284999975,220.0292323
0DAJ,0.7392176529588766,0.8742586002372479,0.17121588089330025,0.1257413997627521,0.15946028825513647,6522,60.548129639,14.370683835000024,277.853444
0DAV,0.5892116182572614,0.7802197802197802,0.1649269311064718,0.21978021978021978,0.1736842105263158,570,63.870063674,20.412636266999986,70.9830731
0DOR,0.7405632115038944,0.8778409090909091,0.1751640585562847,0.12215909090909091,0.16126629422718808,5370,64.2636237,16.416474049999977,365.2199412
0ESN,0.7461139896373058,0.8966376089663761,0.16639411283728536,0.10336239103362391,0.15081563558017852,6498,58.587242943,16.09617252800001,69.4060043
0FRB,0.7364564250196285,0.8849056603773585,0.178858259170827,0.11509433962264151,0.16249798289494916,6197,60.141093501,14.370978848999982,346.7049832
0FUN,0.6487611121619066,0.8835651725914477,0.3560358000436586,0.1164348274085523,0.2847286108555658,6522,62.519392915,12.601078756999982,633.1719418
0GMA,0.7374017568192326,0.8831672203765227,0.19614079728583544,0.1168327796234773,0.17417969947868753,6522,59.946055011,12.909578932999976,149.8673437
0GRI,0.7351560342446838,0.8993243243243243,0.160650535501785,0.10067567567567567,0.14704078503526524,6522,59.625396764,17.251102355,52.3093472
0GST,0.6863565081024569,0.9143454038997214,0.21276175424733307,0.08565459610027855,0.18467220683287167,6498,64.149387202,20.784578978000013,79.3468998
0GVA,0.7205404053039779,0.8695652173913043,0.18516235100698725,0.13043478260869565,0.17126648267402636,6522,67.13663056,20.666695651,403.7805982
0HJV,0.7445358401880141,0.903593839132915,0.19249318515412037,0.09640616086708499,0.16666666666666666,6522,57.629445386,15.343362280999996,209.5341938
0HST,0.733995351785337,0.9308681672025724,0.2426975945017182,0.06913183279742766,0.19303894510886233,6522,58.350225293,11.840193272000022,58.8795941
0JFA,0.7458500286204923,0.8646317186463172,0.13639082751744766,0.1353682813536828,0.13615455381784727,6522,59.424178149,17.834401506999995,91.2566738
0KIE,0.685617103984451,0.8577507598784194,0.21734672954685258,0.14224924012158055,0.19840539711744865,6522,67.847127603,20.380154285000003,460.2208295
0KNA,0.7634798368826462,0.8934252386002121,0.18278404163052905,0.10657476139978792,0.16066481994459833,6498,56.521576029,13.318440474999989,113.9864145
0KOP,0.7323845886844845,0.8626328699918234,0.18926553672316385,0.1373671300081766,0.17486958493989566,4409,59.716464865,12.161074629999971,167.5694066
0KOR,0.6814024390243902,0.773356401384083,0.13640684410646386,0.22664359861591696,0.1558538404175988,2682,66.847888974,23.055544371,208.3786582
0KOS,0.7184672698243748,0.872093023255814,0.19034971226206285,0.12790697674418605,0.17441477085394,6066,67.217982058,20.649801398000022,403.9730723
0KOT,0.737544483985765,0.8506926629040533,0.19440192433850864,0.14930733709594665,0.18092609628948175,6522,57.762174327,12.037667247000002,170.1611198
0LBH,0.7610921501706485,0.8976423231742381,0.16852279890733346,0.10235767682576193,0.15081563558017852,6498,56.078051852,13.24295238000002,90.0629432
0LDA,0.6419354838709678,0.8396624472573839,0.3865546218487395,0.16033755274261605,0.31136044880785413,713,62.850715748,12.790872775000024,650.5777457
0LSE,0.6799116997792494,0.8473177441540578,0.1859635210150674,0.15268225584594222,0.17851646660510925,6498,63.183356449,17.065309747000015,138.3982778
0MAT,0.6668613138686131,0.8233597692862292,0.17448880233690361,0.17664023071377072,0.17494633547991414,6522,62.366047682,16.979294494999976,115.824726
0MGV,0.7343183718985224,0.8947010869565217,0.15801980198019802,0.10529891304347826,0.14612082183379332,6522,59.93139345,16.953554913000005,101.8921638
0MJO,0.7409402546523017,0.9043634190077705,0.18519282326252837,0.09563658099222953,0.16222017785955228,6522,58.324796299,15.124954527,159.8817045
0MLM,0.6804979253112033,0.8159203980099502,0.12028786840301577,0.18407960199004975,0.1312127236580517,3521,67.194135999,20.69802561,526.7431216
0MSE,0.7164179104477612,0.8551068883610451,0.16362308254200147,0.14489311163895488,0.15921787709497207,5370,65.875041047,19.457594345000015,372.132993
0NBG,0.7504670402989058,0.8870662460567823,0.15312943082843833,0.11293375394321767,0.14336093222937749,6522,60.06251581,15.92066999399998,176.2714134
0NHL,0.7411764705882352,0.8905961893054702,0.1703779366700715,0.10940381069452981,0.1551671266482674,6522,58.509281826,15.975603391999982,72.2174851
0NOS,0.7475695608447872,0.9230132450331126,0.15857760691975012,0.07698675496688742,0.14022346368715083,5370,64.910619204,19.48171622900003,339.9397692
0NUN,0.7557680315942633,0.909,0.21959310039805396,0.091,0.18015946028825514,6522,57.595878353,13.724801711999987,262.1308933
0OCK,0.7256687535571997,0.8268482490272373,0.13995983935742973,0.17315175097276264,0.1478074210364919,6522,60.890542319,16.716675130999988,123.5208877
0OKC,0.660053619302949,0.8212141427618412,0.1990842126219391,0.17878585723815876,0.19441888991107023,6522,57.251939517,16.46536500100001,52.3024875
0OSK,0.6758441558441559,0.8420711974110032,0.2017279485633916,0.15792880258899678,0.19135234590616376,6522,57.065641614,15.996815782999988,149.8440324
